"adTargetAdv","adTargetCar","adTargetCat","adTargetDevice","adTargetEnv","adTargetFuel","adTargetImgloc","adTargetKw","adTargetLams","adTargetLifestyle","adTargetLoc","adTargetLoggedIn","adTargetMakeText","adTargetPageType","adTargetPcode","adTargetPriceSet","adTargetSection","adTargetSubcat","adTargetSubloc","adTargetTitle","adTargetVer","adTargetYearRange","adType","authIsAuthenticated","badge","basicInfo/Location","basicInfo/Region","basicInfo/badge_label","basicInfo/bodyStyle","basicInfo/body_style","basicInfo/body_type","basicInfo/body_type_full","basicInfo/build_date","basicInfo/compliance_date","basicInfo/cost_to_insure","basicInfo/cylinders","basicInfo/dealer_address","basicInfo/dealer_name","basicInfo/doors","basicInfo/drive","basicInfo/drive_type","basicInfo/engine_details","basicInfo/engine_full","basicInfo/est_price","basicInfo/ext_color","basicInfo/fourwd","basicInfo/fuel_type","basicInfo/image_url","basicInfo/imp_history","basicInfo/kms","basicInfo/kms_categ","basicInfo/lastModified","basicInfo/link","basicInfo/listing_results_count","basicInfo/listing_type","basicInfo/make","basicInfo/model","basicInfo/model_year","basicInfo/name","basicInfo/networkId","basicInfo/number_of_days_listed","basicInfo/number_pl","basicInfo/overview","basicInfo/path","basicInfo/powerplant_type","basicInfo/powerplant_type_full","basicInfo/price","basicInfo/price_info_full","basicInfo/price_type","basicInfo/publishedDate","basicInfo/registrationPlate","basicInfo/safety_rating","basicInfo/search_type","basicInfo/seats","basicInfo/seller_id","basicInfo/seller_type","basicInfo/sortby","basicInfo/spec","basicInfo/spec_clean","basicInfo/state","basicInfo/transmission","basicInfo/transmission_full","basicInfo/vehicle_description_full","basicInfo/year","biCsnEventId","biSearchTS","bodyStyle","buyHomePremium","canonicalUrl","categoryType","clearance","colour","description","featureAdsProvider","floorplan","fuelType","gamAdsCorrelatorId","globalAepAction","globalAepAdType","globalAepBadge","globalAepBodyStyle","globalAepCategoryType","globalAepClearance","globalAepColour","globalAepCondition","globalAepFuelType","globalAepIsMerlin","globalAepMake","globalAepModel","globalAepNetwork","globalAepNetworkId","globalAepOdometerMin","globalAepPageType","globalAepPrice","globalAepPriceType","globalAepRegion","globalAepSaleStatus","globalAepSellerId","globalAepSellerType","globalAepState","globalAepSuburb","globalAepType","globalAepVertical","globalAepYear","globalBiAdType","globalBiBodyStyle","globalBiGeoCountryCode","globalBiIsGts","globalBiNetworkId","globalBiPageType","globalBiServerName","globalCsnInsightsAction","globalCsnInsightsBuyHomePremium","globalCsnInsightsClearance","globalCsnInsightsCondition","globalCsnInsightsGenericGearType","globalCsnInsightsHasImages","globalCsnInsightsIsDealerBranding","globalCsnInsightsIsMerlin","globalCsnInsightsLatestStock","globalCsnInsightsNetwork","globalCsnInsightsPageType","globalCsnInsightsPriceType","globalCsnInsightsPromoteListing","globalCsnInsightsSaleStatus","globalCsnInsightsSiteSection","globalFbIsMerlin","globalFbNetwork","globalFbPageCategory","globalFbSiteSection","hasImages","imageHeight","imageUrl","imageWidth","isDealerBranding","latestStock","location","make","model","networkId","newAndUsed","odometer","pageIsCompact","pageType","postcode","price","priceType","promoteListing","publishDate","region","saleStatus","scriptFuseSrc","scriptFuseType","sellerId","sellerType","siteName","state","suburb","title","trackingSwrveNetworkGuid","transmission","year"
"dl","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/car/dealer/d96z6d0zw2knu52k0el5sn757.jpg","carsales","no-payment-module","green","vic","false","toyota","details","3041","40","detailsv2","small","melbourne","oagad25259528","zrhybrid","2025","used","false","zr hybrid","vic","melbourne","","hatch","sedan,hatch","","","","","","","","agc-seller-62705","","","","","","43490","red","","petrol - unleaded ulp","","","6269","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-zr-hybrid-auto/OAG-AD-25259528/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla ZR Hybrid Auto","OAG-AD-25259528","","","ZWE219R ZR Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-zr-hybrid-auto/OAG-AD-25259528/","","","43490","$41,688 Excl. Est. Govt. Charges","used","2025-01-02t21:03:42","","","all stock","","AGC-SELLER-62705","dealer","Featured","ZWE219R ZR Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","VIC","automatic","","","2025","b2331f12-595a-4119-b7d2-12163d11364f","20251206-022925-1999343","hatch","true","https://www.carsales.com.au/cars/details/2025-toyota-corolla-zr-hybrid-auto/OAG-AD-25259528/","hatchback","false","red","ZWE219R ZR Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","5097958859198913","view_details","used","zr hybrid","hatch","hatchback","false","red","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25259528","6269","details","43490","dap","melbourne","for sale","agc-seller-62705","dealer","vic","essendon fields","dealer","carsales","2025","used","hatch","au","false","oag-ad-25259528","dealer","carsales","view_details","true","false","used","automatic","true","false","true","false","carsales","dealer","dap","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/car/dealer/d96z6d0zw2knu52k0el5sn757.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","essendon fields, melbourne, vic, 3041","toyota","corolla","oag-ad-25259528","used","6269","false","dealer","3041","43490","dap","false","2025-01-02t21:03:42","melbourne","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-62705","dealer","www.carsales.com.au","vic","essendon fields","2025 Toyota Corolla ZR Hybrid Auto","debb7ca9-0ae8-4e46-8ecd-314785cea8e8","automatic","2025"
"dl","toyotacorolla","sedan","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/car/dealer/84fxick1j4id40sslop8nf9v1.jpg","carsales","no-payment-module","green","wa","false","toyota","details","6109","40","detailsv2","small","southwest","oagad25237340","sxhybrid","2025","used","false","sx hybrid","wa","north west","","sedan","sedan,hatch","","","","","","","","agc-seller-16949","","","","","","38888","silver pearl","","petrol - unleaded ulp","","","16299","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25237340/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla SX Hybrid Auto","OAG-AD-25237340","","","ZWE219R SX Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25237340/","","","38888","Excl. Govt. Charges","used","2025-01-02t21:03:46","","","all stock","","AGC-SELLER-16949","dealer","Featured","ZWE219R SX Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","","WA","automatic","","","2025","3a0add2d-494c-41a4-bc52-0f735bd2f6c4","20251206-022929-5413821","sedan","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25237340/","sedan","false","silver pearl","ZWE219R SX Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","0693171483694050","view_details","used","sx hybrid","sedan","sedan","false","silver pearl","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25237340","16299","details","38888","egc","north west","for sale","agc-seller-16949","dealer","wa","maddington","dealer","carsales","2025","used","sedan","au","false","oag-ad-25237340","dealer","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","dealer","egc","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/car/dealer/84fxick1j4id40sslop8nf9v1.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","maddington, north west, wa, 6109","toyota","corolla","oag-ad-25237340","used","16299","false","dealer","6109","38888","egc","false","2025-01-02t21:03:46","north west","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-16949","dealer","www.carsales.com.au","wa","maddington","2025 Toyota Corolla SX Hybrid Auto","14d9e107-b52a-49d7-86da-46dd2899abeb","automatic","2025"
"dl","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/cars/dealer/3ixpkuhrbggit8s7bw76p009v.jpg","carsales","no-payment-module","green","vic","false","toyota","details","3041","40","detailsv2","small","melbourne","oagad25250241","sxhybrid","2025","used","false","sx hybrid","vic","melbourne","","hatch","sedan,hatch","","","","","","","","agc-seller-11102","","","","","","38888","glacier white","","petrol - unleaded ulp","","","17546","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25250241/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla SX Hybrid Auto","OAG-AD-25250241","","","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25250241/","","","38888","$37,271 Excl. Est. Govt. Charges","used","2025-01-02t21:02:39","","","all stock","","AGC-SELLER-11102","dealer","Featured","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","VIC","automatic","","","2025","182d38e3-311e-4be5-8e1e-ca1efe62c373","20251206-022932-2578007","hatch","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25250241/","hatchback","false","glacier white","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","2354947933429345","view_details","used","sx hybrid","hatch","hatchback","false","glacier white","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25250241","17546","details","38888","dap","melbourne","for sale","agc-seller-11102","dealer","vic","essendon fields","dealer","carsales","2025","used","hatch","au","false","oag-ad-25250241","dealer","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","dealer","dap","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/cars/dealer/3ixpkuhrbggit8s7bw76p009v.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","essendon fields, melbourne, vic, 3041","toyota","corolla","oag-ad-25250241","used","17546","false","dealer","3041","38888","dap","false","2025-01-02t21:02:39","melbourne","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-11102","dealer","www.carsales.com.au","vic","essendon fields","2025 Toyota Corolla SX Hybrid Auto","5b3c5919-d1e5-46d8-8b1d-9895badab476","automatic","2025"
"dl","toyotacorolla","sedan","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/cars/dealer/uw0wrmgbivvb0fsfs886axea.jpg","carsales","no-payment-module","green","vic","false","toyota","details","3041","40","detailsv2","small","melbourne","oagad25257627","ascentsporthybrid","2025","used","false","ascent sport hybrid","vic","melbourne","","sedan","sedan,hatch","","","","","","","","agc-seller-11102","","","","","","35990","frosted white","","petrol - unleaded ulp","","","14087","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25257627/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla Ascent Sport Hybrid Auto","OAG-AD-25257627","","","ZWE219R Ascent Sport Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25257627/","","","35990","$34,491 Excl. Est. Govt. Charges","used","2025-01-02t21:03:44","","","all stock","","AGC-SELLER-11102","dealer","Featured","ZWE219R Ascent Sport Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","","VIC","automatic","","","2025","62973310-e8ac-413c-b0c2-f120f937c025","20251206-022936-3588725","sedan","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25257627/","sedan","false","frosted white","ZWE219R Ascent Sport Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","5597780033272017","view_details","used","ascent sport hybrid","sedan","sedan","false","frosted white","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25257627","14087","details","35990","dap","melbourne","for sale","agc-seller-11102","dealer","vic","essendon fields","dealer","carsales","2025","used","sedan","au","false","oag-ad-25257627","dealer","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","dealer","dap","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/cars/dealer/uw0wrmgbivvb0fsfs886axea.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","essendon fields, melbourne, vic, 3041","toyota","corolla","oag-ad-25257627","used","14087","false","dealer","3041","35990","dap","false","2025-01-02t21:03:44","melbourne","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-11102","dealer","www.carsales.com.au","vic","essendon fields","2025 Toyota Corolla Ascent Sport Hybrid Auto","d7c24009-d423-4eee-8263-584095735cbc","automatic","2025"
"pv","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/cars/private/cidwva0la97dw9kz1u1mtz0ad.jpg","carsales","no-payment-module","green","nsw","false","toyota","details","2000","40","detailsv2","small","sydneyeast","ssead19182374","sxhybrid","2025","used","false","sx hybrid","nsw","sydney east","Pay through carsales","hatch","sedan,hatch","","","","","","","","sse-seller-19182374","","","","","","44000","grey","","petrol - unleaded ulp","","","9","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/SSE-AD-19182374/","64","Private","toyota","corolla","","2025 Toyota Corolla SX Hybrid Auto","SSE-AD-19182374","","","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-sx-hybrid-auto/SSE-AD-19182374/","","","44000","Excl. Govt. Charges","used","2025-01-02t21:02:39","","","all stock","","SSE-SELLER-19182374","private","Featured","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","NSW","automatic","","","2025","431949ed-c492-4770-ac44-bcfe49ab8baf","20251206-022937-0388848","hatch","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/SSE-AD-19182374/","hatchback","false","grey","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","5387814319165409","view_details","used","sx hybrid","hatch","hatchback","false","grey","used","petrol - unleaded ulp","true","toyota","corolla","carsales","sse-ad-19182374","9","details","44000","egc","sydney east","for sale","sse-seller-19182374","private","nsw","sydney","private","carsales","2025","used","hatch","au","false","sse-ad-19182374","private","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","private","egc","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/cars/private/cidwva0la97dw9kz1u1mtz0ad.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","sydney, sydney east, nsw, 2000","toyota","corolla","sse-ad-19182374","used","9","false","private","2000","44000","egc","false","2025-01-02t21:02:39","sydney east","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","sse-seller-19182374","private","www.carsales.com.au","nsw","sydney","2025 Toyota Corolla SX Hybrid Auto","c94353ea-dc11-445d-af7e-29174dc064ae","automatic","2025"
"nw","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/car/cil/ghbykc4k9o487zgjzfzrcg909.jpg","carsales","no-payment-module","green",,"false","toyota","details",,"40","detailsv2","small","midnorthcoast","shrmad6451081","sxhybrid","2025","generic","false","sx hybrid","darling downs","darling downs","New car to order","hatch","sedan,hatch","","","","","","","","csn-seller-88","","","","","","40448","grey","","petrol - unleaded ulp","","","0","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/SHRM-AD-6451081/","64","New car to order","toyota","corolla","","2025 Toyota Corolla SX Hybrid Auto","SHRM-AD-6451081","","","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-sx-hybrid-auto/SHRM-AD-6451081/","","","40448","Indicative drive away","generic","2025-01-02t21:02:39","","","all stock","","CSN-SELLER-88","showroom","Featured","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","","automatic","","","2025","cb8416cf-f269-412e-8b49-3cc66f420d01","20251206-022939-2291028","hatch","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/SHRM-AD-6451081/","hatchback","false","grey","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","2332002273923344","view_details","generic","sx hybrid","hatch","hatchback","false","grey","generic","petrol - unleaded ulp","true","toyota","corolla","carsales","shrm-ad-6451081","0","details","40448","indicativedap","darling downs","for sale","csn-seller-88","showroom",,,"showroom","carsales","2025","generic","hatch","au","false","shrm-ad-6451081","showroom","carsales","view_details","false","false","generic","automatic","true","false","true","false","carsales","showroom","indicativedap","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/car/cil/ghbykc4k9o487zgjzfzrcg909.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","darling downs","toyota","corolla","shrm-ad-6451081","generic","0","false","showroom",,"40448","indicativedap","false","2025-01-02t21:02:39","darling downs","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","csn-seller-88","showroom","www.carsales.com.au",,,"2025 Toyota Corolla SX Hybrid Auto","31f4c756-53b8-4d37-ad1c-ff406ff86de0","automatic","2025"
"dl","toyotacorolla","sedan","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/car/dealer/abooxzeose977989c3ekxitw1.jpg","carsales","no-payment-module","green","wa","false","toyota","details","6230","30","detailsv2","small","southwest","oagad25278009","ascentsporthybrid","2025","used","false","ascent sport hybrid","wa","south west","","sedan","sedan,hatch","","","","","","","","agc-seller-14832","","","","","","32990","glacier white","","petrol - unleaded ulp","","","22435","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25278009/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla Ascent Sport Hybrid Auto","OAG-AD-25278009","","","ZWE219R Ascent Sport Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25278009/","","","32990","Excl. Govt. Charges","used","2025-10-10t05:18:40","","","all stock","","AGC-SELLER-14832","dealer","Featured","ZWE219R Ascent Sport Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","","WA","automatic","","","2025","24fb29cc-e8da-4997-897e-034704311ebf","20251206-022940-8627780","sedan","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25278009/","sedan","false","glacier white","ZWE219R Ascent Sport Hybrid Sedan 4dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","1557242557418903","view_details","used","ascent sport hybrid","sedan","sedan","false","glacier white","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25278009","22435","details","32990","egc","south west","for sale","agc-seller-14832","dealer","wa","bunbury","dealer","carsales","2025","used","sedan","au","false","oag-ad-25278009","dealer","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","dealer","egc","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/car/dealer/abooxzeose977989c3ekxitw1.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","bunbury, south west, wa, 6230","toyota","corolla","oag-ad-25278009","used","22435","false","dealer","6230","32990","egc","false","2025-10-10t05:18:40","south west","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-14832","dealer","www.carsales.com.au","wa","bunbury","2025 Toyota Corolla Ascent Sport Hybrid Auto","406c2ee7-7a73-4533-8e1a-ac90cace5514","automatic","2025"
"dl","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/cars/dealer/ehjiir5gtn064cethq9u6ns95.jpg","carsales","no-payment-module","green","nsw","false","toyota","details","2190","40","detailsv2","small","sydneyeast","oagad25125698","sxhybrid","2025","used","false","sx hybrid","nsw","campbelltown/camden","","hatch","sedan,hatch","","","","","","","","agc-seller-8744","","","","","","37990","frosted white","","petrol - unleaded ulp","","","14996","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25125698/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla SX Hybrid Auto","OAG-AD-25125698","","","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25125698/","","","37990","Excl. Govt. Charges","used","2025-01-02t21:02:39","","","all stock","","AGC-SELLER-8744","dealer","Featured","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","NSW","automatic","","","2025","ae646f3c-bf8b-4c85-b7a7-98d1ac4886ed","20251206-022941-2648730","hatch","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-sx-hybrid-auto/OAG-AD-25125698/","hatchback","false","frosted white","ZWE219R SX Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","1241025584930312","view_details","used","sx hybrid","hatch","hatchback","false","frosted white","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25125698","14996","details","37990","egc","campbelltown/camden","for sale","agc-seller-8744","dealer","nsw","chullora","dealer","carsales","2025","used","hatch","au","false","oag-ad-25125698","dealer","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","dealer","egc","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/cars/dealer/ehjiir5gtn064cethq9u6ns95.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","chullora, campbelltown/camden, nsw, 2190","toyota","corolla","oag-ad-25125698","used","14996","false","dealer","2190","37990","egc","false","2025-01-02t21:02:39","campbelltown/camden","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-8744","dealer","www.carsales.com.au","nsw","chullora","2025 Toyota Corolla SX Hybrid Auto","d06f5234-9644-4a97-9c24-dc068d4f6bde","automatic","2025"
"dl","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/cars/dealer/2y8o78ak8yqmuj2dyl0p6wz3n.jpg","carsales","no-payment-module","green","vic","false","toyota","details","3029","40","detailsv2","small","geelongdistricts","oagad25101581","ascentsporthybrid","2025","used","false","ascent sport hybrid","vic","geelong districts","","hatch","sedan,hatch","","","","","","","","agc-seller-22068","","","","","","37380","glacier white","","petrol - unleaded ulp","","","672","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25101581/","64","Dealer used","toyota","corolla","","2025 Toyota Corolla Ascent Sport Hybrid Auto","OAG-AD-25101581","","","ZWE219R Ascent Sport Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25101581/","","","37380","$35,822 Excl. Est. Govt. Charges","used","2025-01-02t21:03:39","","","all stock","","AGC-SELLER-22068","dealer","Featured","ZWE219R Ascent Sport Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","VIC","automatic","","","2025","c81a3387-677b-4e03-9811-d1de29f66ee3","20251206-022943-5372062","hatch","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/OAG-AD-25101581/","hatchback","false","glacier white","ZWE219R Ascent Sport Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","5464557943821931","view_details","used","ascent sport hybrid","hatch","hatchback","false","glacier white","used","petrol - unleaded ulp","true","toyota","corolla","carsales","oag-ad-25101581","672","details","37380","dap","geelong districts","for sale","agc-seller-22068","dealer","vic","hoppers crossing","dealer","carsales","2025","used","hatch","au","false","oag-ad-25101581","dealer","carsales","view_details","false","false","used","automatic","true","false","true","false","carsales","dealer","dap","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/cars/dealer/2y8o78ak8yqmuj2dyl0p6wz3n.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","hoppers crossing, geelong districts, vic, 3029","toyota","corolla","oag-ad-25101581","used","672","false","dealer","3029","37380","dap","false","2025-01-02t21:03:39","geelong districts","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","agc-seller-22068","dealer","www.carsales.com.au","vic","hoppers crossing","2025 Toyota Corolla Ascent Sport Hybrid Auto","0b9a1e12-7eed-4bb9-a61f-5764a3b2dcfc","automatic","2025"
"nw","toyotacorolla","hatch","desktop","prod","hybrid","https://carsales.pxcrush.net/carsales/car/cil/qv2k7ekoy7iit0iv607fd6159.jpg","carsales","no-payment-module","green",,"false","toyota","details",,"40","detailsv2","small","eyrepeninsula","shrmad6451105","ascentsporthybrid","2025","generic","false","ascent sport hybrid","darling downs","darling downs","New car to order","hatch","sedan,hatch","","","","","","","","csn-seller-88","","","","","","36416","white","","petrol - unleaded ulp","","","0","","","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/SHRM-AD-6451105/","64","New car to order","toyota","corolla","","2025 Toyota Corolla Ascent Sport Hybrid Auto","SHRM-AD-6451105","","","ZWE219R Ascent Sport Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/SHRM-AD-6451105/","","","36416","Indicative drive away","generic","2025-01-02t21:03:39","","","all stock","","CSN-SELLER-88","showroom","Featured","ZWE219R Ascent Sport Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","","","automatic","","","2025","8c4b86f4-3f9f-4f76-a097-e52e547d6422","20251206-022943-8230442","hatch","false","https://www.carsales.com.au/cars/details/2025-toyota-corolla-ascent-sport-hybrid-auto/SHRM-AD-6451105/","hatchback","false","white","ZWE219R Ascent Sport Hybrid Hatchback 5dr E-CVT 1sp 1.8i/70kW Hybrid","fuse","corolla","petrol - unleaded ulp","7575994740629442","view_details","generic","ascent sport hybrid","hatch","hatchback","false","white","generic","petrol - unleaded ulp","true","toyota","corolla","carsales","shrm-ad-6451105","0","details","36416","indicativedap","darling downs","for sale","csn-seller-88","showroom",,,"showroom","carsales","2025","generic","hatch","au","false","shrm-ad-6451105","showroom","carsales","view_details","false","false","generic","automatic","true","false","true","false","carsales","showroom","indicativedap","false","for sale","all stock","true","carsales","details","all stock","true","630","https://carsales.pxcrush.net/carsales/car/cil/qv2k7ekoy7iit0iv607fd6159.jpg?pxc_format=jpeg&pxc_method=crop&pxc_size=1200,630","1200","false","false","darling downs","toyota","corolla","shrm-ad-6451105","generic","0","false","showroom",,"36416","indicativedap","false","2025-01-02t21:03:39","darling downs","for sale","https://carsales.cdn.fuseplatform.net/2008/fuse.js","script","csn-seller-88","showroom","www.carsales.com.au",,,"2025 Toyota Corolla Ascent Sport Hybrid Auto","d6b042b2-93b0-4888-a569-e1fb245a3d6a","automatic","2025"
